"","carID","source","sourceTime","target","targetTime","type","value","diferenciaTiempo"
"75314","20155705025759-63",27,2015-06-05 11:57:59,1,2015-06-05 11:59:26,"1",1,87
"75315","20155705025759-63",1,2015-06-05 11:59:26,2,2015-06-05 12:02:01,"1",1,155
"75316","20155705025759-63",2,2015-06-05 12:02:01,3,2015-06-05 12:05:01,"1",1,180
"75317","20155705025759-63",3,2015-06-05 12:05:01,4,2015-06-05 12:08:11,"1",1,190
"75318","20155705025759-63",4,2015-06-05 12:08:11,5,2015-06-05 12:19:33,"1",1,682
"75319","20155705025759-63",5,2015-06-05 12:19:33,11,2015-06-05 12:29:43,"1",1,610
"75320","20155705025759-63",11,2015-06-05 12:29:43,11,2015-07-03 11:55:52,"1",1,2417169
"75321","20155705025759-63",11,2015-07-03 11:55:52,5,2015-07-03 12:05:56,"1",1,604
"75322","20155705025759-63",5,2015-07-03 12:05:56,4,2015-07-03 12:17:18,"1",1,682
"75323","20155705025759-63",4,2015-07-03 12:17:18,3,2015-07-03 12:20:29,"1",1,191
"75324","20155705025759-63",3,2015-07-03 12:20:29,2,2015-07-03 12:23:28,"1",1,179
"75325","20155705025759-63",2,2015-07-03 12:23:28,1,2015-07-03 12:26:03,"1",1,155
"75326","20155705025759-63",1,2015-07-03 12:26:03,9,2015-07-03 12:37:04,"1",1,661
"75327","20155705025759-63",9,2015-07-03 12:37:04,8,2015-07-03 12:44:01,"1",1,417
"75328","20155705025759-63",8,2015-07-03 12:44:01,12,2015-07-03 13:01:36,"1",1,1055
"75329","20155705025759-63",12,2015-07-03 13:01:36,12,2015-07-31 10:39:26,"1",1,2410670
"75330","20155705025759-63",12,2015-07-31 10:39:26,13,2015-07-31 10:55:01,"1",1,935
"75331","20155705025759-63",13,2015-07-31 10:55:01,13,2015-08-24 15:36:48,"1",1,2090507
"75332","20155705025759-63",13,2015-08-24 15:36:48,8,2015-08-24 15:50:12,"1",1,804
"75333","20155705025759-63",8,2015-08-24 15:50:12,28,2015-08-24 16:00:05,"1",1,593
"75334","20155705025759-63",28,2015-08-24 16:00:05,28,2015-09-17 06:44:02,"1",1,2040237
"75335","20155705025759-63",28,2015-09-17 06:44:02,8,2015-09-17 06:53:52,"1",1,590
"75336","20155705025759-63",8,2015-09-17 06:53:52,9,2015-09-17 07:00:46,"1",1,414
"75337","20155705025759-63",9,2015-09-17 07:00:46,1,2015-09-17 07:11:46,"1",1,660
"75338","20155705025759-63",1,2015-09-17 07:11:46,2,2015-09-17 07:14:21,"1",1,155
"75339","20155705025759-63",2,2015-09-17 07:14:21,3,2015-09-17 07:17:21,"1",1,180
"75340","20155705025759-63",3,2015-09-17 07:17:21,4,2015-09-17 07:20:31,"1",1,190
"75341","20155705025759-63",4,2015-09-17 07:20:31,36,2015-09-17 07:24:10,"1",1,219
"75342","20155705025759-63",36,2015-09-17 07:24:10,37,2015-09-17 07:31:21,"1",1,431
"75343","20155705025759-63",37,2015-09-17 07:31:21,37,2015-09-17 07:44:02,"1",1,761
"75344","20155705025759-63",37,2015-09-17 07:44:02,36,2015-09-17 07:51:08,"1",1,426
"75345","20155705025759-63",36,2015-09-17 07:51:08,4,2015-09-17 07:54:46,"1",1,218
"75346","20155705025759-63",4,2015-09-17 07:54:46,3,2015-09-17 07:57:57,"1",1,191
"75347","20155705025759-63",3,2015-09-17 07:57:57,2,2015-09-17 08:00:56,"1",1,179
"75348","20155705025759-63",2,2015-09-17 08:00:56,1,2015-09-17 08:03:31,"1",1,155
"75349","20155705025759-63",1,2015-09-17 08:03:31,9,2015-09-17 08:14:32,"1",1,661
"75350","20155705025759-63",9,2015-09-17 08:14:32,8,2015-09-17 08:21:29,"1",1,417
"75351","20155705025759-63",8,2015-09-17 08:21:29,16,2015-09-17 08:39:27,"1",1,1078
"75352","20155705025759-63",16,2015-09-17 08:39:27,16,2015-10-19 15:38:45,"1",1,2789958
"75353","20155705025759-63",16,2015-10-19 15:38:45,12,2015-10-19 15:58:52,"1",1,1207
"75354","20155705025759-63",12,2015-10-19 15:58:52,12,2015-11-22 09:55:11,"1",1,2915779
"75355","20155705025759-63",12,2015-11-22 09:55:11,8,2015-11-22 10:12:43,"1",1,1052
"75356","20155705025759-63",8,2015-11-22 10:12:43,9,2015-11-22 10:19:39,"1",1,416
"75357","20155705025759-63",9,2015-11-22 10:19:39,1,2015-11-22 10:30:39,"1",1,660
"75358","20155705025759-63",1,2015-11-22 10:30:39,2,2015-11-22 10:33:14,"1",1,155
"75359","20155705025759-63",2,2015-11-22 10:33:14,3,2015-11-22 10:36:14,"1",1,180
"75360","20155705025759-63",3,2015-11-22 10:36:14,4,2015-11-22 10:39:24,"1",1,190
"75361","20155705025759-63",4,2015-11-22 10:39:24,5,2015-11-22 10:50:46,"1",1,682
"75362","20155705025759-63",5,2015-11-22 10:50:46,11,2015-11-22 11:00:56,"1",1,610
"75363","20155705025759-63",11,2015-11-22 11:00:56,11,2015-12-22 14:43:02,"1",1,2605326
"75364","20155705025759-63",11,2015-12-22 14:43:02,5,2015-12-22 14:53:06,"1",1,604
"75365","20155705025759-63",5,2015-12-22 14:53:06,4,2015-12-22 15:04:28,"1",1,682
"75366","20155705025759-63",4,2015-12-22 15:04:28,3,2015-12-22 15:07:39,"1",1,191
"75367","20155705025759-63",3,2015-12-22 15:07:39,2,2015-12-22 15:10:38,"1",1,179
"75368","20155705025759-63",2,2015-12-22 15:10:38,1,2015-12-22 15:13:13,"1",1,155
"75369","20155705025759-63",1,2015-12-22 15:13:13,9,2015-12-22 15:24:14,"1",1,661
"75370","20155705025759-63",9,2015-12-22 15:24:14,8,2015-12-22 15:31:11,"1",1,417
"75371","20155705025759-63",8,2015-12-22 15:31:11,13,2015-12-22 15:44:38,"1",1,807
"75372","20155705025759-63",13,2015-12-22 15:44:38,13,2016-01-26 12:18:23,"1",1,3011625
"75373","20155705025759-63",13,2016-01-26 12:18:23,33,2016-01-26 12:22:40,"1",1,257
"75374","20155705025759-63",33,2016-01-26 12:22:40,33,2016-03-01 15:11:21,"1",1,3034121
"75375","20155705025759-63",33,2016-03-01 15:11:21,16,2016-03-01 15:20:10,"1",1,529
"75376","20155705025759-63",16,2016-03-01 15:20:10,16,2016-03-31 10:37:07,"1",1,2575017
"75377","20155705025759-63",16,2016-03-31 10:37:07,33,2016-03-31 10:45:56,"1",1,529
"75378","20155705025759-63",33,2016-03-31 10:45:56,33,2016-05-03 05:00:52,"1",1,2830496
"75379","20155705025759-63",33,2016-05-03 05:00:52,12,2016-05-03 05:12:37,"1",1,705
"75380","20155705025759-63",12,2016-05-03 05:12:37,12,2016-05-20 11:15:42,"1",1,1490585
"75381","20155705025759-63",12,2016-05-20 11:15:42,8,2016-05-20 11:33:14,"1",1,1052
"75382","20155705025759-63",8,2016-05-20 11:33:14,28,2016-05-20 11:43:07,"1",1,593
